year,fips7,city_name,opinion_affectweather,opinion_citizens,opinion_congress,opinion_consensus,opinion_corporations,opinion_devharm,opinion_discuss,opinion_exp,opinion_fundrenewables,opinion_futuregen,opinion_generaterenewable,opinion_governor,opinion_happening,opinion_harmplants,opinion_harmus,opinion_human,opinion_localofficials,opinion_personal,opinion_priority,opinion_reducetax,opinion_regulate,opinion_teachgw,opinion_timing,opinion_worried
2013,4714000,chattanooga,,,,,,,,,,,,,,,,,,,,,,,,
2014,4714000,chattanooga,,,,40.0,,51.0,,,76.0,60.0,,,67.0,,50.0,50.0,,34.0,,,74.0,,44.0,52.0
2015,4714000,chattanooga,,,,43.18,,54.775,,,77.91,63.41,,,69.275,,52.27,50.605,,35.035,,,72.88,,46.98,53.03
2016,4714000,chattanooga,,,,46.36,,58.55,29.22,,79.82,66.82,,,71.55,66.37,54.54,51.21,,36.07,,,71.76,75.75,49.96,54.06
2017,4714000,chattanooga,,,,46.53,,57.805,30.38,,81.02,66.52,,,72.14,66.685,54.66,52.865,,36.7,,,72.985,76.045,50.425,56.03
2018,4714000,chattanooga,57.01,63.27,62.61,46.7,67.86,57.06,31.54,,82.22,66.22,,57.51,72.73,67.0,54.78,54.52,57.4,37.33,,62.48,74.21,76.34,50.89,58.0
2019,4714000,chattanooga,53.46,62.11,60.9,47.19,68.53,57.07,31.25,,79.71,62.48,,57.9,70.15,64.61,53.55,50.81,56.19,38.5,,60.76,68.92,73.09,48.47,57.38
2020,4714000,chattanooga,59.68,62.06,60.84,51.23,69.42,60.33,30.48,,83.22,66.28,,54.02,75.45,67.97,57.95,55.65,53.91,38.97,52.89,62.27,71.75,73.83,57.74,61.13
2021,4714000,chattanooga,60.06,63.42,61.8,53.01,68.79,64.09,30.76,44.4,73.6,66.3,,57.18,73.68,68.13,62.06,54.41,58.39,43.79,55.17,60.75,69.72,72.57,62.11,63.36
2022,4714000,chattanooga,57.04,59.55,59.07,51.0,65.81,63.36,30.48,43.51,75.74,65.39,78.44,54.49,71.26,66.83,60.34,53.6,54.75,42.34,50.42,61.71,71.08,70.19,61.11,61.34
2023,4714000,chattanooga,58.45,59.16,61.9,52.44,67.84,63.02,31.75,43.16,76.58,65.69,77.57,54.76,74.48,66.85,58.71,55.4,54.64,42.9,54.03,63.81,71.77,70.3,62.12,61.22
2013,4715160,clarksville,,,,,,,,,,,,,,,,,,,,,,,,
2014,4715160,clarksville,,,,33.0,,46.0,,,74.0,56.0,,,59.0,,45.0,44.0,,31.0,,,71.0,,38.0,46.0
2015,4715160,clarksville,,,,38.15,,52.05,,,77.435,61.12,,,63.05,,49.235,46.705,,33.765,,,72.03,,42.955,49.620000000000005
2016,4715160,clarksville,,,,43.3,,58.1,28.75,,80.87,66.24,,,67.1,66.45,53.47,49.41,,36.53,,,73.06,74.9,47.91,53.24
2017,4715160,clarksville,,,,43.795,,56.93,29.835,,82.17,65.505,,,67.36,66.33500000000001,53.575,51.27,,36.99,,,74.57,75.64500000000001,47.335,54.465
2018,4715160,clarksville,56.85,60.98,59.63,44.29,64.76,55.76,30.92,,83.47,64.77,,55.09,67.62,66.22,53.68,53.13,56.19,37.45,,64.22,76.08,76.39,46.76,55.69
2019,4715160,clarksville,51.53,59.35,57.4,44.86,64.93,55.35,30.42,,80.83,60.88,,54.33,62.69,63.43,51.77,48.89,54.42,37.99,,60.96,69.28,73.77,43.39,54.26
2020,4715160,clarksville,56.68,59.09,56.9,47.74,65.76,58.0,29.72,,84.12,63.7,,50.44,67.4,65.8,55.23,53.17,51.83,37.97,46.05,62.85,72.3,74.42,51.42,57.41
2021,4715160,clarksville,57.26,61.54,59.45,50.04,66.44,61.92,29.6,40.55,75.41,64.7,,55.4,68.11,66.95,59.3,53.17,57.69,42.81,50.42,61.94,69.65,74.8,55.23,60.67
2022,4715160,clarksville,50.41,55.53,54.7,44.9,61.54,58.69,27.96,37.38,74.5,61.25,75.86,50.51,62.54,62.92,55.32,49.74,51.56,39.42,43.29,58.61,69.01,69.16,51.26,55.73
2023,4715160,clarksville,51.19,55.2,57.25,45.26,63.09,57.68,28.95,36.96,75.44,60.82,74.09,50.9,65.13,62.3,53.68,51.95,51.8,40.11,47.05,60.66,69.79,68.96,51.39,56.48
2013,4716420,collierville,,,,,,,,,,,,,,,,,,,,,,,,
2017,4716420,collierville,,,,48.995,,63.53,32.095,,83.39,69.245,,,70.14500000000001,69.92500000000001,60.595,54.125,,43.24,,,78.53,84.02,55.94499999999999,59.63
2019,4716420,collierville,55.53,62.18,60.5,49.11,68.26,62.03,33.05,,82.26,65.41,,61.5,63.89,66.77,59.16,50.88,61.56,44.27,,66.7,74.36,81.97,52.74,58.04
2020,4716420,collierville,59.14,63.35,61.05,51.52,69.23,64.34,32.76,,85.49,67.51,,59.19,65.63,68.31,62.34,54.72,59.92,43.85,51.15,68.98,76.53,81.02,59.9,60.2
2021,4716420,collierville,60.62,65.58,63.96,54.92,69.72,67.29,32.02,49.89,78.62,68.0,,64.68,68.66,69.84,65.47,52.5,66.1,48.89,56.62,69.41,74.38,80.57,63.45,65.2
2022,4716420,collierville,56.48,60.81,60.3,50.97,66.01,65.06,30.82,46.41,80.0,66.13,80.31,60.67,65.51,67.14,62.04,50.62,61.07,45.8,50.32,69.08,75.6,77.93,60.5,61.44
2023,4716420,collierville,57.08,60.7,62.76,50.42,67.74,63.97,31.44,45.59,81.68,65.6,79.3,60.95,67.06,66.62,60.48,52.85,61.61,46.92,54.04,70.89,76.45,77.52,60.56,61.69
2014,4733280,hendersonville,,,,34.0,,45.0,,,72.0,53.0,,,57.0,,45.0,41.0,,30.0,,,69.0,,37.0,45.0
2015,4733280,hendersonville,,,,36.43,,49.14,,,74.425,56.955,,,59.57,,47.45,42.49,,31.17,,,68.97999999999999,,39.705,45.8
2016,4733280,hendersonville,,,,38.86,,53.28,27.62,,76.85,60.91,,,62.14,60.08,49.9,43.98,,32.34,,,68.96,70.22,42.41,46.6
2017,4733280,hendersonville,,,,38.555,,52.515,28.53,,78.145,60.905,,,62.005,60.715,50.18,45.72,,32.32,,,70.22,70.65,42.065,47.58
2018,4733280,hendersonville,50.88,56.65,52.31,38.25,59.95,51.75,29.44,,79.44,60.9,,49.07,61.87,61.35,50.46,47.46,50.88,32.3,,57.45,71.48,71.08,41.72,48.56
2019,4733280,hendersonville,47.02,55.94,51.27,39.26,61.3,51.05,29.52,,77.1,57.09,,48.59,58.19,58.13,48.51,43.46,48.88,32.64,,55.28,65.4,68.02,38.57,46.83
2020,4733280,hendersonville,52.2,55.88,50.82,43.37,62.78,54.9,29.09,,81.0,60.44,,44.86,63.33,61.58,52.82,48.24,45.95,33.08,39.26,58.5,68.47,69.5,47.26,50.17
2021,4733280,hendersonville,53.97,58.4,53.73,47.21,63.45,58.95,29.32,37.4,71.42,61.17,,50.22,65.51,62.76,57.03,48.31,52.52,37.76,43.95,57.71,66.28,70.28,51.57,53.71
2022,4733280,hendersonville,49.51,54.41,51.26,45.22,60.89,58.25,29.07,37.0,72.41,60.07,75.1,47.59,62.09,61.26,55.08,47.51,48.82,36.43,39.61,56.91,67.23,67.02,49.61,51.88
2023,4733280,hendersonville,50.53,54.43,54.21,45.97,62.51,57.35,30.33,36.78,73.25,59.75,73.45,48.37,65.0,60.63,53.52,49.76,49.15,37.2,43.5,59.1,68.25,66.43,49.84,52.26
2015,4737640,jackson,,,,37.23,,51.57,,,75.7,59.205,,,60.98,,49.785,44.205,,34.155,,,70.67,,43.67,48.6
2016,4737640,jackson,,,,40.46,,56.14,27.32,,78.4,63.41,,,63.96,63.18,52.57,45.41,,36.31,,,70.34,75.53,47.34,50.2
2017,4737640,jackson,,,,41.245000000000005,,56.06,28.265,,80.185,63.81,,,64.825,64.34,53.565,47.86,,37.370000000000005,,,72.405,75.83,47.71,52.485
2018,4737640,jackson,55.97,59.29,57.88,42.03,63.47,55.98,29.21,,81.97,64.21,,55.0,65.69,65.5,54.56,50.31,56.87,38.43,,63.34,74.47,76.13,48.08,54.77
2019,4737640,jackson,51.23,57.97,55.78,42.2,63.98,55.81,28.98,,79.85,60.29,,54.72,60.21,62.29,52.92,45.56,55.24,39.05,,59.69,67.72,73.58,45.07,53.22
2020,4737640,jackson,56.31,58.74,56.1,45.94,65.49,58.76,28.38,,83.47,63.76,,50.99,65.25,65.02,56.81,49.51,52.54,39.07,46.18,62.99,71.05,75.1,53.16,55.8
2021,4737640,jackson,56.83,61.12,58.68,49.39,65.96,62.75,28.38,42.14,75.0,64.47,,56.01,67.1,65.85,61.0,48.74,58.71,43.78,50.62,62.23,68.75,75.7,56.81,59.17
2022,4737640,jackson,52.5,57.5,56.56,47.31,63.49,61.74,28.6,40.79,76.08,63.04,76.4,53.35,64.03,64.25,58.94,48.15,54.57,41.93,46.27,61.88,70.23,73.06,54.84,56.91
2023,4737640,jackson,53.12,57.39,58.96,47.51,64.8,60.77,29.46,40.38,76.97,62.5,74.74,53.82,66.41,63.44,57.34,50.2,54.69,42.66,49.98,64.11,71.26,72.46,54.59,57.33
2013,4740000,knoxville,,,,,,,,,,,,,,,,,,,,,,,,
2014,4740000,knoxville,,,,35.0,,48.0,,,76.0,58.0,,,57.0,,47.0,45.0,,31.0,,,70.0,,39.0,46.0
2015,4740000,knoxville,,,,38.96,,51.995000000000005,,,78.28,61.305,,,60.13,,49.29,46.74,,32.129999999999995,,,70.03,,41.88,47.675
2016,4740000,knoxville,,,,42.92,,55.99,31.12,,80.56,64.61,,,63.26,63.58,51.58,48.48,,33.26,,,70.06,75.02,44.76,49.35
2017,4740000,knoxville,,,,43.475,,55.84,32.755,,82.05000000000001,65.235,,,64.05499999999999,64.52,52.155,50.795,,34.084999999999994,,,71.93,75.59,45.335,51.71
2018,4740000,knoxville,53.35,61.49,59.03,44.03,64.38,55.69,34.39,,83.54,65.86,,55.96,64.85,65.46,52.73,53.11,54.13,34.91,,63.24,73.8,76.16,45.91,54.07
2019,4740000,knoxville,49.95,60.76,56.78,45.14,65.4,55.49,33.92,,81.72,62.57,,55.15,60.49,62.81,51.26,49.21,52.31,36.12,,61.79,67.96,73.1,42.53,52.59
2020,4740000,knoxville,55.7,60.24,56.32,49.5,66.03,59.0,33.47,,84.59,65.95,,51.72,65.26,65.74,55.86,53.91,50.04,36.8,43.68,63.07,70.43,73.78,51.61,56.63
2021,4740000,knoxville,57.59,62.16,59.2,53.91,67.11,63.21,33.69,42.13,76.14,67.44,,56.56,67.31,67.39,60.41,54.59,56.24,42.45,48.61,62.08,68.7,74.82,56.4,60.21
2022,4740000,knoxville,53.57,58.35,57.59,51.14,64.45,61.81,33.11,41.18,76.71,65.23,79.67,54.5,63.85,65.11,57.91,52.91,52.87,40.6,43.3,62.1,70.21,71.74,53.49,57.24
2023,4740000,knoxville,54.64,57.68,59.7,51.62,65.82,60.5,34.42,40.49,77.71,64.38,77.72,54.56,66.1,64.1,56.04,54.39,53.07,40.73,46.09,63.92,70.84,71.03,54.13,57.22
2013,4748000,memphis,,,,,,,,,,,,,,,,,,,,,,,,
2014,4748000,memphis,,,,38.0,,51.0,,,74.0,57.0,,,60.0,,51.0,44.0,,37.0,,,75.0,,45.0,51.0
2015,4748000,memphis,,,,43.31,,57.61,,,78.06,62.92,,,65.2,,55.55,47.92,,39.9,,,76.095,,50.49,54.915
2016,4748000,memphis,,,,48.62,,64.22,31.02,,82.12,68.84,,,70.4,69.18,60.1,51.84,,42.8,,,77.19,83.49,55.98,58.83
2017,4748000,memphis,,,,48.995,,63.53,32.095,,83.39,69.245,,,70.14500000000001,69.92500000000001,60.595,54.125,,43.24,,,78.53,84.02,55.94499999999999,59.63
2018,4748000,memphis,59.74,63.67,63.78,49.37,68.24,62.84,33.17,,84.66,69.65,,61.99,69.89,70.67,61.09,56.41,63.42,43.68,,68.11,79.87,84.55,55.91,60.43
2019,4748000,memphis,55.53,62.18,60.5,49.11,68.26,62.03,33.05,,82.26,65.41,,61.5,63.89,66.77,59.16,50.88,61.56,44.27,,66.7,74.36,81.97,52.74,58.04
2020,4748000,memphis,59.14,63.35,61.05,51.52,69.23,64.34,32.76,,85.49,67.51,,59.19,65.63,68.31,62.34,54.72,59.92,43.85,51.15,68.98,76.53,81.02,59.9,60.2
2021,4748000,memphis,60.62,65.58,63.96,54.92,69.72,67.29,32.02,49.89,78.62,68.0,,64.68,68.66,69.84,65.47,52.5,66.1,48.89,56.62,69.41,74.38,80.57,63.45,65.2
2022,4748000,memphis,56.48,60.81,60.3,50.97,66.01,65.06,30.82,46.41,80.0,66.13,80.31,60.67,65.51,67.14,62.04,50.62,61.07,45.8,50.32,69.08,75.6,77.93,60.5,61.44
2023,4748000,memphis,57.08,60.7,62.76,50.42,67.74,63.97,31.44,45.59,81.68,65.6,79.3,60.95,67.06,66.62,60.48,52.85,61.61,46.92,54.04,70.89,76.45,77.52,60.56,61.69
2013,4751560,murfreesboro,,,,,,,,,,,,,,,,,,,,,,,,
2014,4751560,murfreesboro,,,,35.0,,48.0,,,74.0,57.0,,,56.0,,47.0,45.0,,31.0,,,73.0,,38.0,46.0
2015,4751560,murfreesboro,,,,39.08,,52.35,,,76.6,60.69,,,59.73,,49.425,46.585,,32.6,,,72.72999999999999,,41.32,47.735
2016,4751560,murfreesboro,,,,43.16,,56.7,29.79,,79.2,64.38,,,63.46,63.12,51.85,48.17,,34.2,,,72.46,72.73,44.64,49.47
2017,4751560,murfreesboro,,,,43.24,,55.835,30.405,,80.185,64.225,,,62.735,63.69499999999999,52.255,49.755,,34.67,,,73.65,72.975,44.19,50.3
2018,4751560,murfreesboro,51.59,56.23,53.6,43.32,61.29,54.97,31.02,,81.17,64.07,,52.25,62.01,64.27,52.66,51.34,53.48,35.14,,60.65,74.84,73.22,43.74,51.13
2019,4751560,murfreesboro,46.99,54.51,50.16,43.71,61.02,54.63,30.38,,77.91,60.44,,50.87,56.16,61.0,50.7,46.48,51.14,35.69,,57.91,68.37,69.93,40.33,48.93
2020,4751560,murfreesboro,51.29,55.54,50.54,47.38,62.49,57.87,30.19,,81.67,63.52,,46.47,59.77,63.57,55.1,50.8,48.47,36.15,40.19,60.97,71.55,70.26,48.66,52.12
2021,4751560,murfreesboro,53.51,58.84,54.6,51.7,64.21,61.91,30.2,41.01,73.33,64.31,,53.14,62.99,64.53,59.29,51.37,56.04,40.89,45.62,61.27,69.9,72.36,52.83,56.5
2022,4751560,murfreesboro,49.88,54.06,50.85,48.63,60.41,60.41,29.32,39.24,73.01,62.22,75.8,49.59,59.65,62.54,56.68,49.65,51.53,39.06,40.81,59.81,70.16,69.46,50.17,53.53
2023,4751560,murfreesboro,50.16,53.96,53.13,48.84,61.22,59.22,30.39,39.02,73.4,61.4,74.32,49.92,61.1,61.53,54.81,51.99,51.36,39.9,44.25,62.34,70.97,69.12,49.66,53.37
2013,4801000,abilene,,,,,,,,,,,,,,,,,,,,,,,,
2014,4801000,abilene,,,,41.0,,53.0,,,76.0,60.0,,,62.0,,51.0,45.0,,36.0,,,71.0,,42.0,53.0
2015,4801000,abilene,,,,44.065,,57.415,,,78.00999999999999,64.155,,,65.155,,53.575,47.53,,37.775,,,69.715,,45.28,54.445
2016,4801000,abilene,,,,47.13,,61.83,32.08,,80.02,68.31,,,68.31,66.79,56.15,50.06,,39.55,,,68.43,77.02,48.56,55.89
2017,4801000,abilene,,,,48.895,,62.1,33.129999999999995,,81.58,69.265,,,69.45,67.95500000000001,57.085,53.275000000000006,,39.51,,,70.95,77.285,49.17,58.74
2018,4801000,abilene,59.25,62.48,58.79,50.66,64.25,62.37,34.18,,83.14,70.22,,53.6,70.59,69.12,58.02,56.49,55.12,39.47,,63.88,73.47,77.55,49.78,61.59
2019,4801000,abilene,53.17,60.2,53.39,50.34,63.08,61.08,31.57,,79.94,67.12,,50.9,65.56,66.22,55.48,51.74,52.38,39.77,,61.95,65.98,73.91,44.18,59.27
2020,4801000,abilene,60.04,60.44,53.1,53.38,65.34,62.95,32.2,,83.74,69.16,,48.08,70.44,67.79,58.1,54.71,49.88,39.48,49.7,62.04,69.62,73.99,53.54,62.31
2021,4801000,abilene,60.44,62.2,54.78,56.33,66.03,65.51,31.97,44.02,75.24,69.22,,53.82,70.45,67.75,61.6,53.93,56.39,44.33,53.89,60.6,67.4,73.85,57.42,65.04
2022,4801000,abilene,55.71,56.19,50.1,51.95,61.66,63.15,30.04,41.54,74.62,66.64,79.01,49.49,66.41,65.49,58.27,51.53,51.6,42.05,48.21,59.48,67.44,69.88,54.04,61.17
2023,4801000,abilene,56.96,56.77,53.72,52.65,63.72,62.38,31.25,41.72,75.97,66.95,78.33,51.39,67.86,65.77,56.66,53.64,52.68,42.74,50.9,63.1,68.05,69.9,53.88,61.55
2013,4801924,allen,,,,,,,,,,,,,,,,,,,,,,,,
2014,4801924,allen,,,,41.0,,53.0,,,78.0,63.0,,,64.0,,50.0,50.0,,34.0,,,74.0,,42.0,51.0
2015,4801924,allen,,,,44.41,,57.095,,,79.52000000000001,66.57,,,66.38,,52.495000000000005,51.165,,35.754999999999995,,,72.64500000000001,,44.645,52.18
2016,4801924,allen,,,,47.82,,61.19,32.52,,81.04,70.14,,,68.76,69.03,54.99,52.33,,37.51,,,71.29,75.09,47.29,53.36
2017,4801924,allen,,,,50.21,,61.52,33.685,,82.57,70.88,,,70.08000000000001,69.845,55.81,54.97,,38.535,,,73.79,75.795,47.715,56.465
2018,4801924,allen,63.37,63.58,58.73,52.6,67.41,61.85,34.85,,84.1,71.62,,54.95,71.4,70.66,56.63,57.61,56.23,39.56,,64.75,76.29,76.5,48.14,59.57
2019,4801924,allen,59.44,61.6,56.55,53.53,67.8,61.36,34.58,,82.31,68.79,,54.7,67.67,68.87,55.19,52.92,55.34,40.73,,62.85,70.38,74.31,45.15,58.56
2020,4801924,allen,66.3,61.94,56.57,55.97,68.83,64.18,33.69,,84.94,71.67,,51.33,73.27,71.48,59.02,57.33,53.48,42.41,50.57,62.8,72.42,75.56,54.44,61.85
2021,4801924,allen,67.31,64.6,59.22,59.27,69.57,67.84,34.0,47.89,77.22,72.75,,56.72,74.7,72.34,63.9,58.81,59.07,48.42,55.88,63.41,70.95,75.94,58.28,64.99
2022,4801924,allen,65.16,62.36,57.06,58.78,68.37,68.87,35.22,48.54,78.75,72.78,82.38,55.2,73.62,72.52,63.96,58.58,56.74,48.51,53.3,64.52,73.05,75.46,57.06,64.61
2023,4801924,allen,66.85,63.41,60.95,59.71,70.46,69.1,36.76,49.99,79.89,73.0,80.71,57.7,76.2,72.99,63.65,61.31,58.88,50.19,57.93,67.7,73.85,75.7,57.76,65.74
2013,4803000,amarillo,,,,,,,,,,,,,,,,,,,,,,,,
2014,4803000,amarillo,,,,37.0,,52.0,,,73.0,60.0,,,61.0,,51.0,47.0,,37.0,,,71.0,,42.0,54.0
2015,4803000,amarillo,,,,38.31,,55.84,,,74.785,63.145,,,62.455,,53.425,47.41,,38.735,,,69.09,,43.785,53.905
2017,4803000,amarillo,,,,39.5,,59.56,29.095,,77.8,66.73500000000001,,,64.175,64.91499999999999,56.47,50.165,,40.645,,,69.23500000000001,73.08000000000001,45.685,55.760000000000005
2018,4803000,amarillo,52.45,60.65,57.0,39.38,62.32,59.44,29.42,,79.03,67.18,,52.32,64.44,65.83,57.09,52.51,53.78,40.82,,59.37,71.29,73.23,45.8,57.71
2019,4803000,amarillo,48.54,59.44,54.71,40.64,63.08,58.8,29.16,,77.22,64.15,,52.66,60.9,63.86,55.82,48.46,52.67,41.88,,58.04,65.75,70.34,42.68,56.79
2020,4803000,amarillo,54.12,57.94,51.91,43.36,62.65,59.95,27.01,,80.29,66.26,,47.71,65.56,65.66,57.54,52.65,48.89,40.97,48.03,60.4,68.06,70.98,49.85,59.04
2021,4803000,amarillo,54.93,59.16,53.05,45.84,62.33,62.17,27.75,41.95,69.13,65.82,,51.29,66.58,65.18,59.98,51.27,53.6,45.05,51.66,57.58,64.81,69.58,52.62,60.87
2022,4803000,amarillo,48.02,52.47,47.99,40.16,56.69,58.54,24.49,38.89,68.02,62.15,71.96,46.73,61.41,61.25,55.77,48.28,48.65,41.69,44.86,55.22,64.35,63.95,48.2,55.98
2023,4803000,amarillo,49.85,52.92,51.51,41.52,59.2,58.35,25.61,39.59,69.46,62.66,71.86,48.57,64.63,61.59,54.9,50.88,50.11,42.69,49.25,58.8,65.16,64.39,48.55,57.2
2013,4804000,arlington,,,,,,,,,,,,,,,,,,,,,,,,
2014,4804000,arlington,,,,37.0,,52.0,,,76.0,58.0,,,59.0,,51.0,45.0,,36.0,,,72.0,,42.0,51.0
2015,4804000,arlington,,,,39.98,,56.05,,,77.555,61.33,,,61.370000000000005,,52.665,46.55,,37.485,,,71.285,,45.370000000000005,52.355
2016,4804000,arlington,,,,42.96,,60.1,29.95,,79.11,64.66,,,63.74,63.66,54.33,48.1,,38.97,,,70.57,77.02,48.74,53.71
2017,4804000,arlington,,,,43.405,,60.13,31.08,,80.71000000000001,65.75999999999999,,,64.44,65.60499999999999,55.43,50.885000000000005,,39.05,,,72.34,77.28,48.995000000000005,55.545
2018,4804000,arlington,59.73,60.54,54.32,43.85,61.15,60.16,32.21,,82.31,66.86,,54.0,65.14,67.55,56.53,53.67,56.63,39.13,,65.75,74.11,77.54,49.25,57.38
2019,4804000,arlington,56.57,58.77,52.03,46.62,62.35,59.19,32.78,,80.85,63.96,,54.31,61.98,65.34,54.06,48.79,55.49,39.59,,64.26,68.33,76.18,46.56,56.21
2020,4804000,arlington,62.92,60.17,53.38,50.65,65.72,63.04,31.46,,83.86,68.19,,52.02,67.39,69.46,57.84,53.45,53.8,40.43,47.38,65.57,71.14,78.05,55.05,59.91
2021,4804000,arlington,64.05,62.5,56.02,53.88,65.85,66.82,32.04,45.55,74.77,69.48,,56.99,68.67,70.54,61.59,52.8,59.15,44.79,51.3,64.96,69.78,77.96,57.86,62.72
2022,4804000,arlington,61.47,57.92,53.17,52.83,62.85,66.28,32.04,43.84,76.11,68.7,80.88,54.22,67.89,69.56,59.8,52.85,55.82,43.85,48.25,65.18,71.68,75.66,55.78,61.71
2023,4804000,arlington,63.36,58.65,57.08,54.04,65.26,66.16,33.22,44.28,77.53,69.38,79.75,56.44,70.45,70.03,58.94,54.26,57.56,45.35,52.92,68.22,72.47,75.89,57.07,62.62
2013,4805000,austin,,,,,,,,,,,,,,,,,,,,,,,,
2014,4805000,austin,,,,45.333333333333336,,56.0,,,78.33333333333333,63.0,,,66.66666666666667,,53.333333333333336,53.66666666666666,,37.333333333333336,,,75.0,,44.66666666666666,56.333333333333336
2015,4805000,austin,,,,49.626666666666665,,61.02166666666667,,,80.73666666666666,67.20833333333334,,,69.83500000000001,,56.52,55.12166666666666,,39.51166666666667,,,74.82,,48.56833333333333,58.38
2016,4805000,austin,,,,53.92,,66.04333333333334,35.906666666666666,,83.14,71.41666666666667,,,73.00333333333333,70.34666666666666,59.70666666666667,56.57666666666666,,41.69,,,74.64,80.06333333333333,52.47,60.42666666666667
2017,4805000,austin,,,,54.736666666666665,,65.77000000000001,37.49166666666667,,84.19,71.97666666666667,,,73.81166666666667,71.15166666666667,60.02166666666667,58.865,,42.28333333333333,,,76.40166666666667,80.39500000000001,52.82666666666667,62.49666666666667
2018,4805000,austin,62.22666666666667,66.87333333333333,65.7,55.553333333333335,69.49,65.49666666666667,39.07666666666667,,85.24000000000001,72.53666666666668,,59.34666666666667,74.62,71.95666666666666,60.336666666666666,61.153333333333336,58.57,42.876666666666665,,68.27,78.16333333333334,80.72666666666667,53.18333333333334,64.56666666666666
2019,4805000,austin,58.72333333333333,65.66333333333334,62.92,56.42333333333334,70.06,65.14,37.906666666666666,,83.36666666666666,69.56666666666666,,58.51333333333333,71.88333333333334,69.36,59.20000000000001,56.78666666666667,57.18333333333334,43.830000000000005,,66.98333333333333,73.04,79.12333333333333,49.73333333333333,63.403333333333336
2020,4805000,austin,64.95666666666666,65.62666666666667,62.03666666666667,59.72666666666667,70.58333333333333,67.85666666666667,37.70333333333333,,86.17333333333333,72.25666666666667,,55.49666666666667,76.53,72.10666666666667,62.91333333333333,61.17333333333334,54.95333333333334,45.04333333333333,56.42,68.54333333333334,75.79333333333334,79.55333333333333,59.06333333333333,67.18666666666667
2021,4805000,austin,66.09666666666666,67.93333333333334,63.67333333333334,63.53666666666667,71.16333333333334,70.92,37.693333333333335,49.54666666666666,78.48666666666666,73.04333333333334,,60.84333333333333,77.14999999999999,72.53333333333333,66.85333333333334,61.20666666666667,61.09666666666666,49.8,60.39333333333334,67.32333333333334,74.05,79.97666666666667,62.66333333333333,70.35666666666667
2022,4805000,austin,65.24666666666667,65.35666666666667,62.26666666666667,62.830000000000005,69.61666666666666,71.41,38.75,49.946666666666665,80.23,73.34,84.05333333333336,59.19,76.17999999999999,73.04,66.22000000000001,61.85333333333333,59.126666666666665,49.43,57.39000000000001,69.26,76.79666666666667,78.84333333333333,61.79666666666666,69.55666666666666
2023,4805000,austin,66.95666666666666,66.05,65.52666666666667,63.67333333333334,71.45333333333333,71.25666666666667,40.60333333333333,50.54666666666666,81.41,73.76666666666667,83.43666666666667,61.053333333333335,78.39333333333333,73.28,65.46666666666667,63.53333333333333,60.553333333333335,50.55,61.51333333333333,72.24,77.31333333333333,78.88666666666668,62.53666666666667,70.55
2013,4806128,baytown,,,,,,,,,,,,,,,,,,,,,,,,
2014,4806128,baytown,,,,42.0,,56.0,,,76.0,65.0,,,64.0,,54.0,54.0,,40.0,,,73.0,,47.0,56.0
2015,4806128,baytown,,,,45.465,,61.14,,,77.14,68.8,,,67.47999999999999,,57.755,54.77,,42.760000000000005,,,71.61,,51.09,57.97
2016,4806128,baytown,,,,48.93,,66.28,32.47,,78.28,72.6,,,70.96,71.03,61.51,55.54,,45.52,,,70.22,78.52,55.18,59.94
2017,4806128,baytown,,,,48.625,,65.925,33.43,,79.44,72.525,,,71.195,71.625,62.055,57.265,,46.68000000000001,,,71.675,78.08,55.125,61.435
2018,4806128,baytown,59.5,63.87,60.18,48.32,66.69,65.57,34.39,,80.6,72.45,,57.91,71.43,72.22,62.6,58.99,61.09,47.84,,67.24,73.13,77.64,55.07,62.93
2019,4806128,baytown,57.96,63.4,58.45,50.2,68.4,64.97,34.34,,79.15,70.29,,57.59,67.84,70.56,61.45,55.07,60.48,49.26,,62.89,67.81,75.46,52.24,61.79
2020,4806128,baytown,63.55,63.53,58.07,53.65,68.74,67.61,33.93,,82.55,72.61,,54.23,71.8,72.58,64.45,59.58,57.65,50.16,52.62,66.42,71.03,77.21,60.54,64.85
2021,4806128,baytown,63.65,66.07,60.87,56.8,69.6,69.49,32.93,50.54,72.63,71.95,,60.24,72.61,71.7,66.76,59.47,63.71,54.02,56.7,64.98,68.5,77.08,64.48,68.07
2022,4806128,baytown,60.55,62.11,57.89,53.69,66.76,68.19,32.11,48.44,72.89,70.42,75.52,56.98,70.86,69.99,64.45,57.77,59.14,51.67,52.06,64.48,69.57,73.53,62.33,65.19
2023,4806128,baytown,61.74,62.11,61.52,53.9,68.77,67.11,32.41,48.64,73.97,70.15,75.31,59.11,72.59,69.34,62.89,59.65,61.27,52.12,55.88,68.08,70.16,73.84,62.35,65.87
2013,4807000,beaumont,,,,,,,,,,,,,,,,,,,,,,,,
2014,4807000,beaumont,,,,34.0,,49.0,,,73.0,56.0,,,60.0,,49.0,40.0,,35.0,,,70.0,,41.0,49.0
2015,4807000,beaumont,,,,37.805,,55.585,,,76.63499999999999,61.765,,,64.705,,53.120000000000005,44.31,,38.19,,,71.03999999999999,,46.23,52.35
2016,4807000,beaumont,,,,41.61,,62.17,28.62,,80.27,67.53,,,69.41,66.72,57.24,48.62,,41.38,,,72.08,76.91,51.46,55.7
